,PARCEL_NUM,O_NAME,P_NAME,O_ADDR1,O_CITY,O_STATE,O_ZIP,O_CNTRY,SITE_ADDR,S_CITY,S_ZIP,PROP_TYPE,DEED_NUM,DEED_DATE,DEED_TYPE,LAND_FCV,LAND_ASSDV,IMPR_FCV,IMPR_ASSDV,TOTAL_FCV,TOTAL_FCAV,LPV,PUC,LAND_LCC,LAND_LCSC,IMPR_LCC,IMPR_LCSC,RENTAL_IND,prop_class,prop_class_desc,O_NAME_ONE,O_NAME_TWO,MultiplesFlag,In_list_corpo,Is_corpo,Is_top_corpo,north,south,east,west,lat,lng
4340,10291008,STARDOM REALTY LLC,STARDOM REAL ESTATE LLC,3506 N 24TH ST,PHOENIX,AZ,85016,USA,2210 N 84TH AVE,PHOENIX,85037,RESIDENTIAL,110840048,10/11/11,TD,42900,4290,171900,17190,214800,21480,72524,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,STARDOM REALTY LLC,,Y,1,1,1,33.4717205,33.4716109,-112.2403509,-112.2404922,33.4716682,-112.2404275
4346,10291029,YAMASA CO LTD,YAMASA CORPORATION,PO BOX 4090,SCOTTSDALE,AZ,85261,USA,8316 W ALVARADO ST,PHOENIX,85037,RESIDENTIAL,190979420,12/4/19,WD,47000,4700,188000,18800,235000,23500,82934,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,YAMASA CO LTD,,Y,1,1,1,33.4718539,33.4716416,-112.2386547,-112.2388588,33.471734,-112.238751
4364,10303049,THR PHOENIX LP,INVITATION HOMES,8665 E HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,3536 N 63RD DR,PHOENIX,85033,RESIDENTIAL,170842994,11/14/17,SD,42800,4280,171200,17120,214000,21400,98544,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,THR PHOENIX LP,,Y,1,1,1,33.4904432,33.4903129,-112.1961236,-112.1962975,33.4903731,-112.196231
4373,10303106,PHOENIX INDIO FUND I LLC,MARKET EDGE REALTY LLC,11201 N TATUM BLVD,PHOENIX,AZ,85028,USA,6420 W MITCHELL DR,PHOENIX,85033,RESIDENTIAL,210708203,6/28/21,WD,37500,3750,150000,15000,187500,18750,36959,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,PHOENIX INDIO FUND I LLC,,Y,1,1,1,33.4886075,33.4885197,-112.1976432,-112.1978,33.4885543,-112.1977213
4379,10303149,2018-3 IH BORROWER LP,INVITATION HOMES,1717 MAIN ST SUITE 2000,DALLAS,TX,85201,USA,6426 W OSBORN RD,PHOENIX,85033,RESIDENTIAL,180504459,7/2/18,SD,38100,3810,152600,15260,190700,19070,37154,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2018-3 IH BORROWER LP,,Y,1,1,1,33.487903,33.4878129,-112.1979151,-112.1980712,33.4878451,-112.1979542
4383,10304023,STARDOM REAL ESTATE LLC,STARDOM REAL ESTATE LLC,3506 N 24TH ST,PHOENIX,AZ,85016,USA,5933 W MITCHELL DR,PHOENIX,85033,RESIDENTIAL,120111151,2/10/12,TD,46100,4610,184700,18470,230800,23080,98981,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,STARDOM REAL ESTATE LLC,,Y,1,1,1,33.4883523,33.4882282,-112.1879838,-112.1881586,33.488293,-112.1880342
4389,10304049,2018-3 IH BORROWER LP,INVITATION HOMES,1717 MAIN ST SUITE 2000,DALLAS,TX,85201,USA,5902 W MITCHELL DR,PHOENIX,85033,RESIDENTIAL,180504459,7/2/18,SD,42800,4280,171300,17130,214100,21410,42663,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2018-3 IH BORROWER LP,,Y,1,1,1,33.488743,33.4886212,-112.1866128,-112.1867709,33.4886713,-112.1866836
4393,10304059,ARIP LLC,URBAN POINTE PROPERTIES,525 S DOUGLAS ST STE 200,EL SEGUNDO,CA,90245,USA,6001 W WHITTON AVE,PHOENIX,85033,RESIDENTIAL,110004313,1/3/11,TD,46100,4610,184600,18460,230700,23070,97406,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,ARIP LLC,,Y,1,1,1,33.4890294,33.4889205,-112.1886567,-112.1888301,33.4889774,-112.1887095
4402,10304163,SFR INVESTMENTS I LLC,COLD RIVER PARTNERS,PO BOX 2249,CUMMING,GA,30028,USA,6101 W BRITTON AVE,PHOENIX,85033,RESIDENTIAL,170102635,2/10/17,SD,50400,5040,201600,20160,252000,25200,114034,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,SFR INVESTMENTS I LLC,,Y,1,1,1,33.4897,33.4895913,-112.1918893,-112.1920641,33.4896298,-112.1919929
4403,10304165,IH2 PROPERTY BORROWER LP,INVITATION HOMES,1717 MAIN ST SUITE 2000,DALLAS,TX,75201,USA,6113 W BRITTON AVE,PHOENIX,85033,RESIDENTIAL,220353502,4/21/22,SD,43500,4350,174300,17430,217800,21780,95481,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,IH2 PROPERTY BORROWER LP,,Y,1,1,1,33.4896803,33.4895695,-112.1923787,-112.1925948,33.4896168,-112.1925052
